text,punct,symb,tokenized,nonstop,stemmed,polarity,subjectivity,sentiment
"@itsss_shivam ho jayega bhaiya, all the very best. give it ur all. my wishes with u❤️",itsssshivam ho jayega bhaiya all the very best give it ur all my wishes with u❤️, itsss_shivam ho jayega bhaiya  all the very best. give it ur all. my wishes with u❤️,"['itsssshivam', 'ho', 'jayega', 'bhaiya', 'all', 'the', 'very', 'best', 'give', 'it', 'ur', 'all', 'my', 'wishes', 'with', 'u', '']","['itsssshivam', 'ho', 'jayega', 'bhaiya', 'best', 'give', 'ur', 'wishes', 'u', '']","['itsssshivam', 'ho', 'jayega', 'bhaiya', 'best', 'give', 'ur', 'wish', 'u', '']",1.0,0.39,positive
@siddiqui_fariy thank you🌟,siddiquifariy thank you🌟, siddiqui_fariy thank you🌟,"['siddiquifariy', 'thank', 'you', '']","['siddiquifariy', 'thank', '']","['siddiquifariy', 'thank', '']",0.0,0.0,
" our professional @shivamgaba22 showed great insights on 13th apr'22 on the movement of nifty.
nifty touched 15800 which was…"," our professional shivamgaba22 showed great insights on 13th apr22 on the movement of nifty
nifty touched 158 which was…"," our professional  shivamgaba22 showed great insights on 13th apr'22 on the movement of nifty.
nifty touched 15800 which was…","['', 'our', 'professional', 'shivamgaba22', 'showed', 'great', 'insights', 'on', '13th', 'apr22', 'on', 'the', 'movement', 'of', 'nifty', 'nifty', 'touched', '158', 'which', 'was', '']","['', 'professional', 'shivamgaba22', 'showed', 'great', 'insights', '13th', 'apr22', 'movement', 'nifty', 'nifty', 'touched', '158', '']","['', 'profession', 'shivamgaba22', 'show', 'great', 'insight', '13th', 'apr22', 'movement', 'nifti', 'nifti', 'touch', '158', '']",0.3,0.2833333333333333,
 shivam dube's wife with @msdhoni 😍 https://t.co/yxenuctsx1, shivam dubes wife with msdhoni 😍 httpstcoyxenuctsx1, shivam dube's wife with  msdhoni 😍 https://t.co/yxenuctsx1,"['', 'shivam', 'dubes', 'wife', 'with', 'msdhoni', 'httpstcoyxenuctsx1']","['', 'shivam', 'dubes', 'wife', 'msdhoni', 'httpstcoyxenuctsx1']","['', 'shivam', 'dube', 'wife', 'msdhoni', 'httpstcoyxenuctsx1']",0.0,0.0,
@itsss_shivam all the best bhai 👍👍,itsssshivam all the best bhai 👍👍, itsss_shivam all the best bhai 👍👍,"['itsssshivam', 'all', 'the', 'best', 'bhai', '']","['itsssshivam', 'best', 'bhai', '']","['itsssshivam', 'best', 'bhai', '']",1.0,0.3,
madness https://t.co/feviukkgys,madness httpstcofeviukkgys,madness https://t.co/feviukkgys,"['madness', 'httpstcofeviukkgys']","['madness', 'httpstcofeviukkgys']","['mad', 'httpstcofeviukkgi']",0.0,0.0,
@itsss_shivam good luck shivam,itsssshivam good luck shivam, itsss_shivam good luck shivam,"['itsssshivam', 'good', 'luck', 'shivam']","['itsssshivam', 'good', 'luck', 'shivam']","['itsssshivam', 'good', 'luck', 'shivam']",0.7,0.6000000000000001,
"really!?! when will you stop this biased crap kind journalism?
shame on you @thelallantop 
#boycottthelallantop https://t.co/z2fftokgaz","really when will you stop this biased crap kind journalism
shame on you thelallantop 
boycottthelallantop httpstcoz2fftokgaz","really ?  when will you stop this biased crap kind journalism?
shame on you  thelallantop 
#boycottthelallantop https://t.co/z2fftokgaz","['really', 'when', 'will', 'you', 'stop', 'this', 'biased', 'crap', 'kind', 'journalism', 'shame', 'on', 'you', 'thelallantop', 'boycottthelallantop', 'httpstcoz2fftokgaz']","['really', 'stop', 'biased', 'crap', 'kind', 'journalism', 'shame', 'thelallantop', 'boycottthelallantop', 'httpstcoz2fftokgaz']","['realli', 'stop', 'bias', 'crap', 'kind', 'journal', 'shame', 'thelallantop', 'boycottthelallantop', 'httpstcoz2fftokgaz']",0.03749999999999998,0.6333333333333333,
just 7 more days for upsc prelims and anxiety on peak😬,just 7 more days for upsc prelims and anxiety on peak😬,just 7 more days for upsc prelims and anxiety on peak😬,"['just', '7', 'more', 'days', 'for', 'upsc', 'prelims', 'and', 'anxiety', 'on', 'peak', '']","['7', 'days', 'upsc', 'prelims', 'anxiety', 'peak', '']","['7', 'day', 'upsc', 'prelim', 'anxieti', 'peak', '']",0.5,0.5,
" people talk a lot about australia lost a war to emus; or how dangerous it is cos of the crocodiles, or the snakes or whatever…", people talk a lot about australia lost a war to emus or how dangerous it is cos of the crocodiles or the snakes or whatever…, people talk a lot about australia lost a war to emus; or how dangerous it is cos of the crocodiles  or the snakes or whatever…,"['', 'people', 'talk', 'a', 'lot', 'about', 'australia', 'lost', 'a', 'war', 'to', 'emus', 'or', 'how', 'dangerous', 'it', 'is', 'cos', 'of', 'the', 'crocodiles', 'or', 'the', 'snakes', 'or', 'whatever', '']","['', 'people', 'talk', 'lot', 'australia', 'lost', 'war', 'emus', 'dangerous', 'cos', 'crocodiles', 'snakes', 'whatever', '']","['', 'peopl', 'talk', 'lot', 'australia', 'lost', 'war', 'emu', 'danger', 'co', 'crocodil', 'snake', 'whatev', '']",-0.6,0.9,
" then #naagin6 new promo launched, that's soo amazing with the twist i was waiting for long 😂 i wanted mahek to be villian…", then naagin6 new promo launched thats soo amazing with the twist i was waiting for long 😂 i wanted mahek to be villian…, then #naagin6 new promo launched  that's soo amazing with the twist i was waiting for long 😂 i wanted mahek to be villian…,"['', 'then', 'naagin6', 'new', 'promo', 'launched', 'thats', 'soo', 'amazing', 'with', 'the', 'twist', 'i', 'was', 'waiting', 'for', 'long', 'i', 'wanted', 'mahek', 'to', 'be', 'villian', '']","['', 'naagin6', 'new', 'promo', 'launched', 'thats', 'soo', 'amazing', 'twist', 'waiting', 'long', 'wanted', 'mahek', 'villian', '']","['', 'naagin6', 'new', 'promo', 'launch', 'that', 'soo', 'amaz', 'twist', 'wait', 'long', 'want', 'mahek', 'villian', '']",0.2287878787878788,0.5848484848484848,
literally saw this as whatsapp status from my contacts who r not even #salmankhan fans :p https://t.co/g82nrmmjtw,literally saw this as whatsapp status from my contacts who r not even salmankhan fans p httpstcog82nrmmjtw,literally saw this as whatsapp status from my contacts who r not even #salmankhan fans :p https://t.co/g82nrmmjtw,"['literally', 'saw', 'this', 'as', 'whatsapp', 'status', 'from', 'my', 'contacts', 'who', 'r', 'not', 'even', 'salmankhan', 'fans', 'p', 'httpstcog82nrmmjtw']","['literally', 'saw', 'whatsapp', 'status', 'contacts', 'r', 'even', 'salmankhan', 'fans', 'p', 'httpstcog82nrmmjtw']","['liter', 'saw', 'whatsapp', 'statu', 'contact', 'r', 'even', 'salmankhan', 'fan', 'p', 'httpstcog82nrmmjtw']",0.75,1.0,
@2704_sonam it's recorded go to shivam acc that available in there,274sonam its recorded go to shivam acc that available in there, 2704_sonam it's recorded go to shivam acc that available in there,"['274sonam', 'its', 'recorded', 'go', 'to', 'shivam', 'acc', 'that', 'available', 'in', 'there']","['274sonam', 'recorded', 'go', 'shivam', 'acc', 'available']","['274sonam', 'record', 'go', 'shivam', 'acc', 'avail']",0.4,0.4,
